一	 一:single
懐	 忄:Left    十:Top    𭾱:Bottom
懲	 徴:Top    心:Bottom
懸	 縣:Top    心:Bottom
成	 戊:TopOutside    𠃌:BottomInside
我	 我:single
戒	 戈:TopRightOutside    廾:BottomLeftInside
戚	 戊:TopOutside    尗:BottomInside
戦	 単:Left    戈:Right
戯	 虚:Left    戈:Right
戴	 𢦏:TopRightOutside    異:BottomLeftInside
戸	 一:Top    尸:Bottom
戻	 戸:TopLeftOutside    大:BottomRightInside
房	 戸:TopLeftOutside    方:BottomRightInside
所	 戸:Left    斤:Right
扇	 戸:TopLeftOutside    羽:BottomRightInside
扉	 戸:TopLeftOutside    非:BottomRightInside
手	 手:single
才	 才:single
打	 扌:Left    丁:Right
払	 扌:Left    厶:Right
扱	 扌:Left    及:Right
扶	 扌:Left    夫:Right
批	 扌:Left    比:Right
承	 承:single
技	 扌:Left    支:Right
抄	 扌:Left    少:Right
把	 扌:Left    巴:Right
抑	 扌:Left    卬:Right
投	 扌:Left    殳:Right
抗	 扌:Left    亢:Right
折	 扌:Left    斤:Right
抜	 扌:Left    友:Right
択	 扌:Left    尺:Right
披	 扌:Left    皮:Right
抱	 扌:Left    包:Right
抵	 扌:Left    氐:Right
抹	 扌:Left    末:Right
押	 扌:Left    甲:Right
抽	 扌:Left    由:Right
担	 扌:Left    旦:Right
拉	 扌:Left    立:Right
拍	 扌:Left    白:Right
拐	 扌:Left    叧:Right
拒	 扌:Left    巨:Right
拓	 扌:Left    石:Right
拘	 扌:Left    句:Right
拙	 扌:Left    出:Right
招	 扌:Left    召:Right
拝	 扌:Left    一:Top    丰:Bottom
拠	 扌:Left    処:Right
拡	 扌:Left    広:Right
括	 扌:Left    舌:Right
拭	 扌:Left    式:Right
拳	 龹:Top    手:Bottom
拶	 扌:Left    𡿪:Right
拷	 扌:Left    考:Right
拾	 扌:Left    合:Right
持	 扌:Left    寺:Right
